P8,C414,2
P8,C417,1
P8,C501,1
P8,C2052,1
P8,C732,1
P8,C734,0.083333333
P8,C2053,1.167
P8,C2058,1
P8,C304,1
P8,C581,2
P8,C499,1
P8,C262,2
P8,C1071,0.0015
P8,C2059,0.000857143
P8,C305,1
P8,C1603,0.0084
P8,C888,2
P8,C584,2
P8,C1705,2
P8,C856,2
P8,C307,1
P8,C303,1
P8,C954,1
P8,C756,2
P8,C306,1
P8,C1748,0.0017
P8,C1773,0.0065
P8,C886,2
P8,C2361,1
P8,C2481,0.010133333
P10,C414,2
P10,C2051,1
P10,C732,1
P10,C832,0.083333333
P10,C2055,1.167
P10,C581,2
P10,C311,1
P10,C262,2
P10,C1071,0.0015
P10,C2059,0.000571429
P10,C1768,1
P10,C1602,0.00945
P10,C888,2
P10,C584,2
P10,C1705,2
P10,C856,2
P10,C954,1
P10,C756,2
P10,C1748,0.0017
P10,C1773,0.0065
P10,C886,2
P10,C2361,1
P10,C2481,0.010133333
P12,C414,2
P12,C2052,1
P12,C732,1
P12,C734,0.083333333
P12,C2057,1.167
P12,C581,2
P12,C311,1
P12,C262,2
P12,C1071,0.0015
P12,C2059,0.000571429
P12,C1603,0.0084
P12,C888,2
P12,C584,2
P12,C1705,2
P12,C856,2
P12,C954,1
P12,C756,2
P12,C1748,0.0017
P12,C1773,0.0065
P12,C886,2
P12,C2361,1
P12,C2481,0.010133333
P11,C430,2
P11,C2051,1
P11,C733,1
P11,C832,0.083333333
P11,C2056,1.167
P11,C581,2
P11,C585,1
P11,C586,2
P11,C1071,0.0015
P11,C2059,0.000571429
P11,C1768,1
P11,C1602,0.00945
P11,C1705,2
P11,C268,2
P11,C798,2
P11,C954,1
P11,C686,4
P11,C1742,2
P11,C1748,0.0017
P11,C1718,0.009
P11,C886,2
P11,C2361,1
P11,C2481,0.010133333
P9,C2051,1
P9,C832,0.083333333
P9,C2054,1.167
P9,C581,2
P9,C500,1
P9,C1071,0.0015
P9,C2059,0.000571429
P9,C1768,1
P9,C1602,0.00945
P9,C1705,2
P9,C529,1
P9,C784,1
P9,C954,1
P9,C687,1
P9,C1748,0.0017
P9,C1718,0.0045
P9,C886,2
P9,C1085,2
P9,C1678,1
P9,C2361,1
P9,C2481,0.010133333
P1128,C414,2
P1128,C417,1
P1128,C501,1
P1128,C732,1
P1128,C734,0.083333333
P1128,C2058,1
P1128,C304,1
P1128,C581,2
P1128,C499,1
P1128,C262,2
P1128,C1071,0.0015
P1128,C2059,0.000857143
P1128,C2060,2
P1128,C305,1
P1128,C1603,0.0084
P1128,C888,2
P1128,C584,2
P1128,C1705,2
P1128,C856,2
P1128,C307,1
P1128,C303,1
P1128,C954,1
P1128,C756,2
P1128,C306,1
P1128,C1748,0.0017
P1128,C1773,0.0065
P1128,C730,1
P1128,C2061,1.167
P1128,C2361,1
P1131,C414,2
P1131,C732,1
P1131,C832,0.083333333
P1131,C581,2
P1131,C311,1
P1131,C262,2
P1131,C1071,0.0015
P1131,C2059,0.000571429
P1131,C2060,2
P1131,C1768,1
P1131,C1602,0.00945
P1131,C888,2
P1131,C584,2
P1131,C1705,2
P1131,C856,2
P1131,C954,1
P1131,C756,2
P1131,C1748,0.0017
P1131,C1773,0.0065
P1131,C731,1
P1131,C2063,1.167
P1131,C2361,1
P1131,C2493,1
P1129,C414,2
P1129,C732,1
P1129,C734,0.083333333
P1129,C581,2
P1129,C311,1
P1129,C262,2
P1129,C1071,0.0015
P1129,C2059,0.000571429
P1129,C2060,2
P1129,C1603,0.0084
P1129,C888,2
P1129,C584,2
P1129,C1705,2
P1129,C856,2
P1129,C954,1
P1129,C756,2
P1129,C1748,0.0017
P1129,C1773,0.0065
P1129,C730,1
P1129,C2065,1.167
P1129,C2361,1
P1132,C430,2
P1132,C733,1
P1132,C832,0.083333333
P1132,C581,2
P1132,C585,1
P1132,C586,2
P1132,C1071,0.0015
P1132,C2059,0.000571429
P1132,C2060,2
P1132,C1768,1
P1132,C1602,0.00945
P1132,C1705,2
P1132,C268,2
P1132,C798,2
P1132,C954,1
P1132,C686,4
P1132,C1742,2
P1132,C1748,0.0034
P1132,C1718,0.009
P1132,C731,1
P1132,C2064,1.167
P1132,C2361,1
P1130,C832,0.083333333
P1130,C581,2
P1130,C500,1
P1130,C1071,0.0015
P1130,C2059,0.000571429
P1130,C2060,2
P1130,C1768,1
P1130,C1602,0.00945
P1130,C1705,2
P1130,C529,1
P1130,C784,1
P1130,C954,1
P1130,C687,1
P1130,C1748,0.0017
P1130,C1718,0.0045
P1130,C731,1
P1130,C2062,1.167
P1130,C1678,1
P1130,C2361,1
P1130,C2494,1
P1130,C2512,2
P30,C417,1
P30,C2051,1
P30,C733,1
P30,C832,0.083333333
P30,C1071,0.0015
P30,C1768,1
P30,C1602,0.00945
P30,C529,1
P30,C954,1
P30,C1748,0.0034
P30,C1718,0.0045
P30,C834,1
P30,C2069,1.167
P30,C761,1
P30,C507,1
P30,C1590,1
P30,C1567,1
P30,C106,1
P30,C1093,1
P30,C294,1
P30,C101,1
P30,C137,2
P30,C958,1
P30,C628,1
P30,C670,1
P30,C1796,1
P30,C145,1
P30,C1085,2
P30,C1678,1
P30,C2361,1
P30,C2481,0.010133333
P32,C417,1
P32,C2051,1
P32,C733,1
P32,C832,0.083333333
P32,C1071,0.0015
P32,C1768,1
P32,C1602,0.00945
P32,C529,1
P32,C784,1
P32,C954,1
P32,C1748,0.0034
P32,C1718,0.0045
P32,C2071,1.167
P32,C761,1
P32,C574,1
P32,C1590,1
P32,C1567,1
P32,C106,1
P32,C1093,1
P32,C294,1
P32,C101,1
P32,C670,1
P32,C1085,2
P32,C1678,1
P32,C2361,1
P32,C2481,0.010133333
P33,C417,1
P33,C2051,1
P33,C733,1
P33,C832,0.083333333
P33,C1071,0.0015
P33,C1602,0.00945
P33,C954,1
P33,C1748,0.0034
P33,C1718,0.0045
P33,C834,1
P33,C2072,1.167
P33,C761,1
P33,C507,1
P33,C1769,1
P33,C1590,1
P33,C1567,1
P33,C106,1
P33,C1093,1
P33,C294,1
P33,C101,1
P33,C137,1
P33,C958,1
P33,C628,1
P33,C670,1
P33,C145,1
P33,C1085,2
P33,C1678,1
P33,C2361,1
P33,C2481,0.010133333
P50,C417,1
P50,C2051,1
P50,C733,1
P50,C832,0.083333333
P50,C1071,0.0015
P50,C1768,1
P50,C1602,0.00945
P50,C529,1
P50,C954,1
P50,C1748,0.0034
P50,C1718,0.0045
P50,C834,1
P50,C2076,1.167
P50,C761,1
P50,C507,1
P50,C457,1
P50,C783,1
P50,C1563,1
P50,C106,1
P50,C631,1
P50,C283,1
P50,C123,1
P50,C137,2
P50,C958,1
P50,C628,1
P50,C670,1
P50,C1796,1
P50,C1085,2
P50,C1678,1
P50,C2361,1
P50,C2481,0.010133333
P52,C417,1
P52,C2051,1
P52,C832,0.083333333
P52,C1071,0.0015
P52,C1768,1
P52,C1602,0.00945
P52,C529,1
P52,C784,1
P52,C954,1
P52,C1748,0.0034
P52,C1718,0.0045
P52,C2078,1.167
P52,C761,1
P52,C578,1
P52,C783,1
P52,C1563,1
P52,C106,1
P52,C631,1
P52,C283,1
P52,C123,1
P52,C670,1
P52,C1085,2
P52,C1678,1
P52,C2361,1
P52,C2481,0.010133333
P53,C417,1
P53,C2051,1
P53,C733,1
P53,C832,0.083333333
P53,C1071,0.0015
P53,C1602,0.00945
P53,C954,1
P53,C1748,0.0034
P53,C1718,0.0045
P53,C834,1
P53,C2079,1.167
P53,C761,1
P53,C507,1
P53,C457,1
P53,C1769,1
P53,C783,1
P53,C1563,1
P53,C106,1
P53,C631,1
P53,C283,1
P53,C123,1
P53,C137,1
P53,C958,1
P53,C628,1
P53,C670,1
P53,C1085,2
P53,C1678,1
P53,C2361,1
P53,C2481,0.010133333
P27,C2052,1
P27,C732,1
P27,C734,0.083333333
P27,C1071,0.0015
P27,C1603,0.0084
P27,C888,2
P27,C584,2
P27,C856,2
P27,C954,1
P27,C756,2
P27,C1748,0.0017
P27,C1773,0.0065
P27,C413,2
P27,C2066,1.167
P27,C1767,1
P27,C761,1
P27,C98,2
P27,C1567,1
P27,C1770,1
P27,C1093,1
P27,C294,1
P27,C101,1
P27,C670,1
P27,C667,1
P27,C258,1
P27,C2361,1
P27,C2481,0.010133333
P28,C2052,1
P28,C732,1
P28,C734,0.083333333
P28,C1071,0.0015
P28,C1603,0.0084
P28,C888,2
P28,C584,2
P28,C856,2
P28,C954,1
P28,C756,2
P28,C1748,0.0017
P28,C1773,0.0065
P28,C413,2
P28,C2067,1.167
P28,C761,1
P28,C98,2
P28,C1567,1
P28,C1093,1
P28,C294,1
P28,C101,1
P28,C670,1
P28,C156,1
P28,C2361,1
P28,C2481,0.010133333
P31,C2051,1
P31,C732,1
P31,C832,0.083333333
P31,C1071,0.0015
P31,C1768,1
P31,C1602,0.00945
P31,C888,2
P31,C584,2
P31,C856,2
P31,C954,1
P31,C756,2
P31,C1748,0.0017
P31,C1773,0.0065
P31,C413,2
P31,C2070,1.167
P31,C761,1
P31,C98,2
P31,C1567,1
P31,C1093,1
P31,C294,1
P31,C101,1
P31,C670,1
P31,C156,1
P31,C2361,1
P31,C2481,0.010133333
P47,C2052,1
P47,C732,1
P47,C734,0.083333333
P47,C1071,0.0015
P47,C1603,0.0084
P47,C888,2
P47,C584,2
P47,C856,2
P47,C954,1
P47,C756,2
P47,C1748,0.0017
P47,C1773,0.0065
P47,C413,2
P47,C2073,1.167
P47,C1767,1
P47,C761,1
P47,C468,1
P47,C98,2
P47,C1563,1
P47,C1770,1
P47,C631,1
P47,C283,1
P47,C123,1
P47,C670,1
P47,C667,1
P47,C2361,1
P47,C2481,0.010133333
P48,C2052,1
P48,C732,1
P48,C734,0.083333333
P48,C1071,0.0015
P48,C1603,0.0084
P48,C888,2
P48,C584,2
P48,C856,2
P48,C954,1
P48,C756,2
P48,C1748,0.0017
P48,C1773,0.0065
P48,C413,2
P48,C2074,1.167
P48,C761,1
P48,C469,1
P48,C98,2
P48,C1563,1
P48,C631,1
P48,C283,1
P48,C123,1
P48,C670,1
P48,C2361,1
